"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.855884600E-1,-7.093682885E-2,-1.735482514E-1,9.691122055E0,9.692935454E0
6.880278870E-1,-8.051322401E-2,-1.783364713E-1,9.686334610E0,9.688310712E0
6.904670020E-1,-6.375452876E-2,-1.879128516E-1,9.674364090E0,9.676398939E0
6.929069500E-1,-6.375452876E-2,-1.639718711E-1,9.674364090E0,9.675963619E0
6.953467940E-1,-6.614863127E-2,-1.735482514E-1,9.667181015E0,9.668964961E0
6.977866890E-1,-9.487781674E-2,-1.807305813E-1,9.667181015E0,9.669335764E0
7.002259080E-1,-7.093682885E-2,-1.807305813E-1,9.681546211E0,9.683492790E0
7.026648140E-1,-6.614863127E-2,-1.735482514E-1,9.683939934E0,9.685720793E0
7.051045020E-1,-7.811912894E-2,-1.687600613E-1,9.669576645E0,9.671364694E0
7.075437210E-1,-7.333092391E-2,-1.807305813E-1,9.664787292E0,9.666755111E0
7.099824190E-1,-6.614863127E-2,-1.974892616E-1,9.674364090E0,9.676605717E0
7.124216370E-1,-9.008961916E-2,-1.783364713E-1,9.674364090E0,9.676427057E0
7.148607000E-1,-6.854273379E-2,-1.711541712E-1,9.671970367E0,9.673727443E0
7.172999190E-1,-5.896633118E-2,-1.663659811E-1,9.662393570E0,9.664005596E0
7.197391890E-1,-7.572502643E-2,-1.783364713E-1,9.674364090E0,9.676303980E0
7.221783040E-1,-6.854273379E-2,-1.855187416E-1,9.667181015E0,9.669203901E0
7.246179390E-1,-5.657223612E-2,-1.927010715E-1,9.664787292E0,9.666873721E0
7.270568460E-1,-7.811912894E-2,-1.998833418E-1,9.691122055E0,9.693497957E0
7.294953870E-1,-7.572502643E-2,-2.046715319E-1,9.667181015E0,9.669643918E0
7.319343460E-1,-7.333092391E-2,-1.950951517E-1,9.667181015E0,9.669427507E0
7.343733040E-1,-6.854273379E-2,-1.663659811E-1,9.669576645E0,9.671250604E0
7.368128870E-1,-6.614863127E-2,-1.663659811E-1,9.681546211E0,9.683201450E0
7.392521060E-1,-7.811912894E-2,-1.735482514E-1,9.700698853E0,9.702565631E0
7.416910640E-1,-6.375452876E-2,-1.711541712E-1,9.674364090E0,9.676087998E0
7.441309080E-1,-5.657223612E-2,-1.927010715E-1,9.671970367E0,9.674055246E0
7.465700750E-1,-6.614863127E-2,-1.855187416E-1,9.664787292E0,9.666794001E0
7.490087210E-1,-7.572502643E-2,-1.783364713E-1,9.674364090E0,9.676303980E0
7.514481480E-1,-7.811912894E-2,-1.950951517E-1,9.674364090E0,9.676646385E0
7.538875230E-1,-8.530142903E-2,-1.807305813E-1,9.655211449E0,9.657279534E0
7.563273140E-1,-7.093682885E-2,-1.927010715E-1,9.686334610E0,9.688510923E0
7.587669500E-1,-7.093682885E-2,-1.831246614E-1,9.686334610E0,9.688325183E0
