"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.089645390E-1,-8.051322401E-2,-2.669181228E-1,9.683939934E0,9.687952328E0
7.114042270E-1,-1.116365045E-1,-2.741004229E-1,9.683939934E0,9.688461508E0
7.138436020E-1,-9.966601431E-2,-2.549476326E-1,9.703093529E0,9.706953983E0
7.162822990E-1,-7.333092391E-2,-2.549476326E-1,9.674364090E0,9.678000634E0
7.187220910E-1,-1.116365045E-1,-2.334007472E-1,9.674364090E0,9.677823059E0
7.211617790E-1,-1.116365045E-1,-2.549476326E-1,9.638452530E0,9.642470025E0
7.236010490E-1,-9.248372167E-2,-2.549476326E-1,9.633664131E0,9.637480798E0
7.260404770E-1,-1.044542119E-1,-2.286125422E-1,9.636057854E0,9.639335316E0
7.284797990E-1,-9.966601431E-2,-2.453712225E-1,9.640846252E0,9.644483232E0
7.309193310E-1,-9.966601431E-2,-2.525535226E-1,9.638452530E0,9.642275860E0
7.333583930E-1,-8.530142903E-2,-2.381889224E-1,9.636057854E0,9.639378676E0
7.357971430E-1,-9.727191925E-2,-2.477653325E-1,9.659998894E0,9.663665356E0
7.382364660E-1,-9.248372167E-2,-2.573417425E-1,9.669576645E0,9.673442536E0
7.406758410E-1,-9.727191925E-2,-2.405830324E-1,9.681546211E0,9.685023441E0
7.431149560E-1,-9.248372167E-2,-2.381889224E-1,9.679152489E0,9.682524469E0
7.455545390E-1,-9.008961916E-2,-2.453712225E-1,9.703093529E0,9.706613581E0
7.479940180E-1,-9.966601431E-2,-2.645240426E-1,9.736610413E0,9.740712942E0
7.504337580E-1,-8.769552410E-2,-2.525535226E-1,9.741397858E0,9.745065726E0
7.528733410E-1,-1.068483144E-1,-2.286125422E-1,9.729428291E0,9.732700300E0
7.553125080E-1,-9.008961916E-2,-2.262184322E-1,9.671970367E0,9.675034972E0
7.577522470E-1,-1.020601094E-1,-2.262184322E-1,9.664787292E0,9.667973131E0
7.601913620E-1,-8.290731907E-2,-2.166420519E-1,9.655211449E0,9.657997490E0
7.626300080E-1,-8.290731907E-2,-2.070656717E-1,9.628876686E0,9.631459705E0
7.650689660E-1,-9.727191925E-2,-2.166420519E-1,9.614511490E0,9.617443880E0
7.675080290E-1,-9.727191925E-2,-2.214302421E-1,9.628876686E0,9.631913590E0
7.699473520E-1,-1.283951998E-1,-2.214302421E-1,9.650423050E0,9.653816951E0
7.723861020E-1,-9.966601431E-2,-2.238243222E-1,9.679152489E0,9.682253020E0
7.748247470E-1,-1.068483144E-1,-2.166420519E-1,9.717457771E0,9.720459654E0
7.772643830E-1,-1.164247096E-1,-2.357948273E-1,9.707880974E0,9.711442062E0
7.797034970E-1,-1.092424095E-1,-2.453712225E-1,9.724639893E0,9.728348369E0
7.821421430E-1,-9.248372167E-2,-2.645240426E-1,9.736610413E0,9.740642101E0
7.845813620E-1,-1.116365045E-1,-2.310066223E-1,9.736610413E0,9.739990200E0
7.870206850E-1,-9.248372167E-2,-2.453712225E-1,9.715063095E0,9.718601299E0
7.894601640E-1,-1.068483144E-1,-2.477653325E-1,9.669576645E0,9.673340515E0
7.918991740E-1,-1.020601094E-1,-2.525535226E-1,9.664787292E0,9.668625184E0
